Prompt ID,Percent Correct
0,0.0
1,0.0
2,0.0
3,0.0
4,100.0
5,100.0
6,0.0
7,100.0
8,0.0
9,100.0
10,100.0
11,0.0
12,0.0
13,100.0
14,0.0
15,0.0
16,0.0
17,100.0
18,0.0
19,0.0
20,100.0
21,0.0
22,100.0
23,100.0
24,0.0
25,0.0
26,0.0
27,100.0
28,0.0
29,0.0
30,100.0
31,100.0
32,0.0
33,0.0
34,0.0
35,100.0
36,0.0
37,100.0
38,0.0
39,0.0
40,100.0
41,0.0
42,100.0
43,100.0
44,100.0
45,0.0
46,0.0
47,0.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,0.0
54,100.0
55,100.0
56,0.0
57,100.0
58,100.0
59,100.0
60,100.0
61,0.0
62,100.0
63,0.0
64,0.0
65,0.0
66,0.0
67,100.0
68,0.0
69,100.0
70,0.0
71,100.0
72,100.0
73,0.0
74,100.0
75,100.0
76,100.0
77,100.0
78,0.0
79,0.0
80,100.0
81,0.0
82,100.0
83,100.0
84,100.0
85,100.0
86,0.0
87,100.0
88,100.0
89,0.0
90,100.0
91,0.0
92,0.0
93,100.0
94,0.0
95,100.0
96,100.0
97,100.0
98,100.0
99,0.0
