Prompt ID,Percent Correct
0,100.0
1,100.0
2,0.0
3,0.0
4,0.0
5,100.0
6,100.0
7,0.0
8,0.0
9,100.0
10,100.0
11,100.0
12,0.0
13,0.0
14,100.0
15,100.0
16,100.0
17,100.0
18,0.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,0.0
25,0.0
26,100.0
27,100.0
28,0.0
29,0.0
30,0.0
31,100.0
32,0.0
33,0.0
34,0.0
35,100.0
36,100.0
37,100.0
38,0.0
39,0.0
40,100.0
41,0.0
42,0.0
43,100.0
44,100.0
45,100.0
46,100.0
47,0.0
48,100.0
49,0.0
50,100.0
51,100.0
52,100.0
53,100.0
54,0.0
55,100.0
56,0.0
57,100.0
58,100.0
59,100.0
60,0.0
61,100.0
62,100.0
63,100.0
64,100.0
65,0.0
66,0.0
67,100.0
68,100.0
69,0.0
70,100.0
71,100.0
72,100.0
73,100.0
74,0.0
75,100.0
76,0.0
77,100.0
78,100.0
79,0.0
80,100.0
81,100.0
82,100.0
83,0.0
84,100.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,0.0
96,0.0
97,100.0
98,0.0
99,0.0
