Prompt ID,Percent Correct
0,0.0
1,100.0
2,100.0
3,0.0
4,0.0
5,0.0
6,100.0
7,0.0
8,100.0
9,0.0
10,100.0
11,100.0
12,100.0
13,0.0
14,100.0
15,100.0
16,0.0
17,0.0
18,0.0
19,100.0
20,0.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,0.0
27,0.0
28,100.0
29,100.0
30,100.0
31,0.0
32,100.0
33,100.0
34,100.0
35,0.0
36,0.0
37,0.0
38,100.0
39,100.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,100.0
46,100.0
47,100.0
48,0.0
49,100.0
50,100.0
51,0.0
52,0.0
53,100.0
54,100.0
55,0.0
56,0.0
57,0.0
58,100.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,100.0
67,100.0
68,0.0
69,0.0
70,100.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,100.0
77,0.0
78,0.0
79,100.0
80,0.0
81,100.0
82,100.0
83,100.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,100.0
90,0.0
91,0.0
92,100.0
93,0.0
94,0.0
95,0.0
96,100.0
97,100.0
98,100.0
99,0.0
