Prompt ID,Percent Correct
0,100.0
1,0.0
2,100.0
3,100.0
4,100.0
5,100.0
6,0.0
7,100.0
8,100.0
9,100.0
10,100.0
11,0.0
12,0.0
13,100.0
14,100.0
15,0.0
16,0.0
17,100.0
18,0.0
19,0.0
20,0.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,0.0
30,100.0
31,100.0
32,0.0
33,0.0
34,100.0
35,0.0
36,0.0
37,0.0
38,0.0
39,100.0
40,100.0
41,100.0
42,0.0
43,100.0
44,0.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
50,100.0
51,100.0
52,0.0
53,0.0
54,100.0
55,100.0
56,100.0
57,0.0
58,100.0
59,0.0
60,100.0
61,0.0
62,100.0
63,100.0
64,100.0
65,0.0
66,100.0
67,0.0
68,100.0
69,0.0
70,100.0
71,0.0
72,100.0
73,0.0
74,0.0
75,0.0
76,100.0
77,100.0
78,100.0
79,100.0
80,100.0
81,100.0
82,100.0
83,100.0
84,0.0
85,100.0
86,0.0
87,100.0
88,100.0
89,0.0
90,0.0
91,100.0
92,0.0
93,100.0
94,100.0
95,0.0
96,100.0
97,100.0
98,0.0
99,100.0
